epoch,loss,val_loss
0,0.8996744237288281,0.5756513128678004
1,0.526980200437484,0.48693712924917537
2,0.4724484992523988,0.4975722134113312
3,0.44074862381374397,0.43198726574579877
4,0.4119428400364187,0.41644485170642537
5,0.39155270242028767,0.4052654194335143
6,0.3775069483176426,0.4113641579945882
7,0.36868004921685765,0.41004471108317375
8,0.3571991554840847,0.3634067525466283
9,0.3482725629238067,0.36512873818476993
10,0.33671133985949886,0.35306860506534576
11,0.32937924660466333,0.3512534809609254
12,0.32435309086684827,0.3355120563258727
13,0.31694689703484374,0.3323780919114749
14,0.3106780855881947,0.3440859528879325
15,0.3052108160875462,0.3375463876873255
16,0.2984835356473923,0.3362943362444639
17,0.2940284178626758,0.325706750775377
18,0.2895918416756171,0.32783307569722336
19,0.28602666890731565,0.3343396292378505
20,0.28122468051259164,0.3130930537978808
21,0.2776841555756551,0.31797582531968754
22,0.276040462570058,0.32648080959916115
23,0.2683389833955853,0.3061976532141368
24,0.2636057891089607,0.31068720544377965
25,0.264795931470063,0.3060503800710042
26,0.25749260690753106,0.3005671439071496
27,0.25566754290075216,0.29936836039026576
28,0.25000322782606993,0.3080226617554824
29,0.24878053636186653,0.30367896892130375
30,0.2476177655712322,0.32118178221086663
31,0.24346478966375193,0.3076660055667162
32,0.24047710422288487,0.29759986884891987
33,0.23727283564706644,0.32005420575539273
34,0.23745473791603688,0.29974131224056083
35,0.2323210499835787,0.31313606537878513
36,0.22990246555181565,0.3041018508374691
37,0.22717633429500791,0.3190197640409072
38,0.22714587701139627,0.297720809156696
39,0.2236824076001843,0.30921529047191143
40,0.221573396206454,0.29572461483379203
41,0.21985830428699651,0.2931768751392762
42,0.21563364613663266,0.3035118052115043
43,0.21784308459609747,0.30068321463962394
44,0.21430036228977972,0.302384623636802
45,0.21140652284440067,0.2960327422867219
46,0.2092470514277617,0.2964585100611051
47,0.20740063371205772,0.3071075224628051
48,0.2060431536907951,0.2936396114528179
49,0.20325748480994393,0.3018940712014834
50,0.2022742353103779,0.3276757380614678
51,0.19989321877559027,0.2960851372530063
